"start","variable","value"
2020-09-01,"anger",-0.152729920138881
2020-09-08,"anger",-0.10990019427121
2020-09-15,"anger",-0.145074283508162
2020-09-22,"anger",-0.118718219657931
2020-09-29,"anger",-0.0617624604060167
2020-10-06,"anger",-0.111622202796329
2020-10-13,"anger",-0.163409329417911
2020-10-20,"anger",-0.123999545554792
2020-10-27,"anger",-0.108249660884787
2020-11-03,"anger",0.74275543896709
2020-11-10,"anger",-0.115804454778314
2020-11-17,"anger",-0.155803119960031
2020-11-24,"anger",-0.19391103162754
2020-12-01,"anger",-0.17300187166727
2020-12-08,"anger",-0.13016271659261
2020-12-15,"anger",-0.11261731380437
2020-12-22,"anger",-0.162055870165224
2020-12-29,"anger",-0.157993571418568
2021-01-05,"anger",-0.187221718936102
2021-01-12,"anger",-0.157724722460524
2021-01-19,"anger",-0.15710641289751
2021-01-26,"anger",-0.122012494873259
2020-01-01,"anger",-0.19081696229722
2020-01-08,"anger",-0.119663409908726
2020-01-15,"anger",-0.0217045662531308
2020-01-22,"anger",-0.142410365357523
2020-01-29,"anger",-0.137869268887645
2020-02-05,"anger",-0.116470203661739
2020-02-12,"anger",-0.118958073838626
2020-02-19,"anger",-0.0781581048169158
2020-02-26,"anger",-0.191684659921029
2020-03-04,"anger",-0.142523340743471
2020-03-11,"anger",-0.265044045217527
2020-03-18,"anger",-0.275149044273623
2020-03-25,"anger",-0.300534372321695
2020-04-01,"anger",-0.261742184720051
2020-04-08,"anger",-0.22976112974927
2020-04-15,"anger",-0.235837680914575
2020-04-22,"anger",-0.224560920695161
2020-04-29,"anger",-0.22625513632828
2020-05-06,"anger",-0.168957503588309
2020-05-13,"anger",-0.200337992894958
2020-05-20,"anger",-0.18661219975256
2020-05-27,"anger",-0.133272090823666
2020-06-03,"anger",0.0217376368293899
2020-06-10,"anger",-0.0929220558338743
2020-06-17,"anger",-0.150554620576849
2020-06-24,"anger",-0.176147620824273
2020-07-01,"anger",-0.14465814362451
2020-07-08,"anger",-0.104086769345453
2020-07-15,"anger",-0.147847949190658
2020-07-22,"anger",-0.114573357217309
2020-07-29,"anger",0.010955125039018
2020-08-05,"anger",-0.0370929099001531
2020-08-12,"anger",-0.111186029110816
2020-08-19,"anger",-0.0860228712988377
2020-08-26,"anger",-0.20458100976547
2020-09-02,"anger",-0.0757821347030528
2020-09-09,"anger",0.0932671852232528
2020-09-16,"anger",-0.124563620449593
2020-09-23,"anger",-0.0723098372252616
2020-09-30,"anger",-0.0537001865558034
2020-10-07,"anger",-0.103452063440652
2020-10-14,"anger",-0.00158009481368067
2020-10-21,"anger",-0.122919993214028
2020-10-28,"anger",-0.123701978167812
2020-11-04,"anger",0.0334521951910625
2020-11-11,"anger",-0.0303353914819025
2020-11-18,"anger",-0.132671411497615
2020-11-25,"anger",-0.00312584001111081
2020-12-02,"anger",-0.141158698743093
2020-12-09,"anger",-0.101111639055335
2020-12-16,"anger",-0.114168928143451
2020-12-23,"anger",-0.173697507190955
2020-12-30,"anger",-0.138857953014508
2021-01-06,"anger",-0.139874393066701
2021-01-13,"anger",-0.123743569726212
2021-01-20,"anger",-0.153238964674768
2020-01-03,"anxiety",-0.0566673461402909
2020-01-10,"anxiety",-0.190553857465407
2020-01-17,"anxiety",-0.213887647529917
2020-01-24,"anxiety",-0.120029983111243
2020-01-31,"anxiety",-0.0565148283135348
2020-02-07,"anxiety",-0.0525048191357547
2020-02-14,"anxiety",-0.0945411670314735
2020-02-21,"anxiety",-0.0264894646356427
2020-02-28,"anxiety",0.400793779900996
2020-03-06,"anxiety",0.286734565431904
2020-03-13,"anxiety",0.586930751381402
2020-03-20,"anxiety",0.112608500503847
2020-03-27,"anxiety",0.12764841867889
2020-04-03,"anxiety",0.0248900030801374
2020-04-10,"anxiety",-0.0238148817298405
2020-04-17,"anxiety",0.0518391784555536
2020-04-24,"anxiety",0.109156287195547
2020-05-01,"anxiety",0.0640185526537982
2020-05-08,"anxiety",0.013484860779766
2020-05-15,"anxiety",-0.00820941811547948
2020-05-22,"anxiety",0.0288142866181846
2020-05-29,"anxiety",-0.0101472617266592
2020-06-05,"anxiety",-0.00763297721834846
2020-06-12,"anxiety",-0.0490916527915889
2020-06-19,"anxiety",0.00239004788715144
2020-06-26,"anxiety",-0.0391761898378323
2020-07-03,"anxiety",0.00200822072300323
2020-07-10,"anxiety",-0.115187317822583
2020-07-17,"anxiety",-0.0474019365729784
2020-07-24,"anxiety",0.01250051006561
2020-07-31,"anxiety",-0.0322520636553404
2020-08-07,"anxiety",0.0483317008676069
2020-08-14,"anxiety",0.00691983750410867
2020-08-21,"anxiety",-0.080851704492069
2020-08-28,"anxiety",0.0736646848515029
2020-09-04,"anxiety",0.102856614723374
2020-09-11,"anxiety",0.10866737295297
2020-09-18,"anxiety",0.0735830566558938
2020-09-25,"anxiety",0.106636090785732
2020-10-02,"anxiety",-0.00995342895998961
2020-10-09,"anxiety",-0.0335276047945017
2020-10-16,"anxiety",0.0898721270323664
2020-10-23,"anxiety",0.0943115593865134
2020-10-30,"anxiety",0.357980327980727
2020-11-06,"anxiety",0.0795512963794926
2020-11-13,"anxiety",0.201524124822611
2020-11-20,"anxiety",0.0583276893402124
2020-11-27,"anxiety",0.161474188607634
2020-12-04,"anxiety",-0.0331913357392452
2020-12-11,"anxiety",0.131929961908931
2020-12-18,"anxiety",0.126475152393069
2020-12-25,"anxiety",-0.0199967707604675
2021-01-01,"anxiety",-0.0380248218537341
2021-01-08,"anxiety",0.175801999979841
2021-01-15,"anxiety",0.134419182205571
2021-01-22,"anxiety",0.0882508592359758
2020-01-06,"anxiety",-0.131989472648953
2020-01-13,"anxiety",-0.142062926026729
2020-01-20,"anxiety",-0.0665813235752933
