"date","N","variable","value"
2020-01-29,2962,"anxiety",0.0439673340143515
2020-02-05,3133,"anxiety",0.491596818783395
2020-02-12,3353,"anxiety",0.346140578607601
2020-02-19,3465,"anxiety",0.250150447165397
2020-02-26,3031,"anxiety",0.746507603302012
2020-03-04,3712,"anxiety",0.243265642960797
2020-03-11,4929,"anxiety",0.710697518146717
2020-03-18,4865,"anxiety",0.314389036658123
2020-03-25,5826,"anxiety",0.296823986328548
2020-04-01,4113,"anxiety",0.0319927625207376
2020-01-06,2020,"anxiety",-0.0154151655629276
2020-01-13,2374,"anxiety",0.263561457504112
2020-01-20,2288,"anxiety",-0.114932321023282
2020-01-27,2055,"anxiety",0.91777338154676
2020-02-03,2102,"anxiety",-0.0703118485381484
2020-02-10,2986,"anxiety",-0.0673281684032345
2020-02-17,2558,"anxiety",0.343380978707025
2020-02-24,3354,"anxiety",0.23863344040812
2020-03-02,3059,"anxiety",0.240807758261363
2020-03-09,3057,"anxiety",1.56076841859022
2020-03-16,4975,"anxiety",0.0990765548513412
2020-03-23,4425,"anxiety",0.224667406715009
2020-03-30,4874,"anxiety",0.166296572314663
2020-01-04,2463,"anxiety",-0.0164674855119992
2020-01-11,1985,"anxiety",-0.0502465319954895
2020-01-18,2401,"anxiety",0.452181258532018
2020-01-25,2554,"anxiety",-0.0389919099927999
2020-02-01,2080,"anxiety",-0.396010504784719
2020-02-08,2425,"anxiety",0.0742749189546434
2020-02-15,2989,"anxiety",0.277934032790077
2020-02-22,2020,"anxiety",-0.188576171847069
2020-02-29,2872,"anxiety",0.259712756198485
2020-03-07,2814,"anxiety",0.285179610142649
2020-03-14,4293,"anxiety",0.459773203223123
2020-03-21,3987,"anxiety",0.055027400121202
2020-03-28,4588,"anxiety",0.287995320446066
2020-01-05,3160,"anxiety",-0.0985178025854748
2020-01-12,1743,"anxiety",-0.0483135858361693
2020-01-19,2702,"anxiety",-0.26160074035264
2020-01-26,2729,"anxiety",0.0359920820799848
2020-02-02,2505,"anxiety",-0.180130892932506
2020-02-09,2466,"anxiety",0.15061206707528
2020-02-16,2263,"anxiety",-0.0937938922274334
2020-02-23,2850,"anxiety",-0.18392178310214
2020-03-01,3787,"anxiety",0.35056832184071
2020-03-08,4108,"anxiety",-0.11787417417173
2020-03-15,6100,"anxiety",0.310375536636724
2020-03-22,4666,"anxiety",-0.149412904449553
2020-03-29,4054,"anxiety",-0.312927122254353
2020-06-30,611,"posemo",0.00944350249943847
2020-06-29,566,"posemo",0.126167721589981
2020-06-28,397,"posemo",-0.0337850651584163
2020-06-27,635,"posemo",0.00191146143800045
2020-06-26,592,"posemo",-0.0296334223154737
2020-06-25,818,"posemo",0.212446259572691
2020-06-24,909,"posemo",-0.0540490355345258
2020-06-23,650,"posemo",0.14249574724952
2020-06-22,826,"posemo",0.123273039957661
2020-06-21,794,"posemo",0.0818960651000761
2020-06-20,787,"posemo",0.0800854333672706
2020-06-19,761,"posemo",-0.131456292214913
2020-06-18,699,"posemo",0.0210733411637861
2020-06-17,722,"posemo",-0.191655526712255
2020-06-16,517,"posemo",-0.0837486818977832
2020-06-15,765,"posemo",0.00330938440330598
2020-06-14,839,"posemo",0.00396979462501326
2020-06-13,679,"posemo",0.279444719370475
2020-06-12,550,"posemo",-0.0417788439271539
2020-06-11,439,"posemo",0.369307653593403
2020-06-10,644,"posemo",0.221830175283911
2020-06-09,766,"posemo",0.177008962734189
2020-06-08,977,"posemo",0.292062271607913
2020-06-07,599,"posemo",0.225067857373087
2020-06-06,514,"posemo",-0.0163705770701851
2020-06-05,615,"posemo",0.14803260900685
2020-06-04,798,"posemo",-0.0108466046785304
2020-06-03,909,"posemo",-0.028567580182545
2020-06-02,695,"posemo",0.0106386141494689
2020-06-01,364,"posemo",-0.0467095850165939
2020-05-31,225,"posemo",-0.000361947858484734
2020-05-30,359,"posemo",0.141296087814686
2020-05-29,461,"posemo",0.164663269278447
2020-05-28,421,"posemo",0.336890414864007
2020-05-27,427,"posemo",0.327717839386578
2020-05-26,706,"posemo",0.264525562089349
2020-05-25,649,"posemo",0.220611519125154
2020-05-24,408,"posemo",0.376855197198576
2020-05-22,468,"posemo",0.254824112039344
2020-05-20,518,"posemo",0.126799103899168
2020-05-19,462,"posemo",0.4249102468103
2020-05-18,466,"posemo",0.0367190526936479
2020-05-17,532,"posemo",0.113549197699316
2020-05-15,534,"posemo",0.0876037770401328
2020-05-14,382,"posemo",0.0244254484069093
2020-05-13,596,"posemo",-0.0670283695702347
2020-05-12,749,"posemo",0.0938452359831219
2020-05-11,608,"posemo",0.124445307672351
2020-05-10,343,"posemo",-0.175247162301834
2020-05-09,215,"posemo",0.0670007805026273
2020-05-08,330,"posemo",0.402445943946038
2020-05-07,408,"posemo",0.367477953936619
2020-05-06,585,"posemo",0.248366330231606
2020-05-05,637,"posemo",0.421220075740164
2020-05-04,756,"posemo",0.184797838270679
2020-05-03,635,"posemo",0.252450157432449
2020-05-02,550,"posemo",0.458686461395859
2020-05-01,415,"posemo",0.303955954074084
2020-04-30,587,"posemo",0.282587374442029
2020-04-29,816,"posemo",0.291036375867909
2020-04-28,825,"posemo",0.22385609241849
2020-04-27,677,"posemo",0.0396832366213378
2020-04-26,591,"posemo",-0.0272026264785878
2020-04-25,421,"posemo",0.334374639624925
2020-04-24,1239,"posemo",0.209171593191234
2020-04-23,447,"posemo",0.0538040019379775
2020-04-22,545,"posemo",-0.0217524589766019
2020-04-21,573,"posemo",-0.0129228052307176
2020-04-20,663,"posemo",0.0866150193663472
2020-04-19,491,"posemo",0.235977641892037
2020-04-18,691,"posemo",0.296902456129328
